api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
com.example.app2_ar_game.PermissionsViewModel->getCameraGranted,Camera,Camera,API,Feasible,com.example.app2_ar_game.App2ScreenKt$$ExternalSyntheticLambda0,invoke,4,com.example.app2_ar_game.App2ScreenKt$$ExternalSyntheticLambda0->invoke -> com.example.app2_ar_game.App2ScreenKt->$r8$lambda$oIDbdltvtuoSEHmi6wLyX4-4rxQ -> com.example.app2_ar_game.App2ScreenKt->App2Screen$lambda$5 -> com.example.app2_ar_game.App2ScreenKt->App2Screen -> com.example.app2_ar_game.PermissionsViewModel->getCameraGranted,4
com.google.ar.core.Camera-><init>,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getCamera,1,com.google.ar.core.Frame->getCamera -> com.google.ar.core.Camera-><init>,1
com.google.ar.core.Camera->nativeAcquireCamera,Camera,Camera,API,Feasible,com.google.ar.core.Frame,getCamera,2,com.google.ar.core.Frame->getCamera -> com.google.ar.core.Camera-><init> -> com.google.ar.core.Camera->nativeAcquireCamera,2
com.google.ar.core.Camera->nativeCreateCameraIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getImageIntrinsics,1,com.google.ar.core.Camera->getImageIntrinsics -> com.google.ar.core.Camera->nativeCreateCameraIntrinsics,1
com.google.ar.core.Camera->nativeDisplayOrientedPose,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getDisplayOrientedPose,1,com.google.ar.core.Camera->getDisplayOrientedPose -> com.google.ar.core.Camera->nativeDisplayOrientedPose,1
com.google.ar.core.Camera->nativeGetImageIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getImageIntrinsics,1,com.google.ar.core.Camera->getImageIntrinsics -> com.google.ar.core.Camera->nativeGetImageIntrinsics,1
com.google.ar.core.Camera->nativeGetPose,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getPose,1,com.google.ar.core.Camera->getPose -> com.google.ar.core.Camera->nativeGetPose,1
com.google.ar.core.Camera->nativeGetProjectionMatrix,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getProjectionMatrix,1,com.google.ar.core.Camera->getProjectionMatrix -> com.google.ar.core.Camera->nativeGetProjectionMatrix,1
com.google.ar.core.Camera->nativeGetTextureIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTextureIntrinsics,1,com.google.ar.core.Camera->getTextureIntrinsics -> com.google.ar.core.Camera->nativeGetTextureIntrinsics,1
com.google.ar.core.Camera->nativeGetTrackingFailureReason,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTrackingFailureReason,1,com.google.ar.core.Camera->getTrackingFailureReason -> com.google.ar.core.Camera->nativeGetTrackingFailureReason,1
com.google.ar.core.Camera->nativeGetTrackingState,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTrackingState,1,com.google.ar.core.Camera->getTrackingState -> com.google.ar.core.Camera->nativeGetTrackingState,1
com.google.ar.core.Camera->nativeGetViewMatrix,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getViewMatrix,1,com.google.ar.core.Camera->getViewMatrix -> com.google.ar.core.Camera->nativeGetViewMatrix,1
com.google.ar.core.Camera->nativeReleaseCamera,Camera,Camera,API,Feasible,com.google.ar.core.Camera,finalize,1,com.google.ar.core.Camera->finalize -> com.google.ar.core.Camera->nativeReleaseCamera,1
com.google.ar.core.Camera->equals,Camera,Camera,API,Feasible,com.google.ar.core.Camera,equals,0,com.google.ar.core.Camera->equals,0
com.google.ar.core.Camera->finalize,Camera,Camera,API,Feasible,com.google.ar.core.Camera,finalize,0,com.google.ar.core.Camera->finalize,0
com.google.ar.core.Camera->getDisplayOrientedPose,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getDisplayOrientedPose,0,com.google.ar.core.Camera->getDisplayOrientedPose,0
com.google.ar.core.Camera->getImageIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getImageIntrinsics,0,com.google.ar.core.Camera->getImageIntrinsics,0
com.google.ar.core.Camera->getPose,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getPose,0,com.google.ar.core.Camera->getPose,0
com.google.ar.core.Camera->getProjectionMatrix,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getProjectionMatrix,0,com.google.ar.core.Camera->getProjectionMatrix,0
com.google.ar.core.Camera->getTextureIntrinsics,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTextureIntrinsics,0,com.google.ar.core.Camera->getTextureIntrinsics,0
com.google.ar.core.Camera->getTrackingFailureReason,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTrackingFailureReason,0,com.google.ar.core.Camera->getTrackingFailureReason,0
com.google.ar.core.Camera->getTrackingState,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getTrackingState,0,com.google.ar.core.Camera->getTrackingState,0
com.google.ar.core.Camera->getViewMatrix,Camera,Camera,API,Feasible,com.google.ar.core.Camera,getViewMatrix,0,com.google.ar.core.Camera->getViewMatrix,0
com.google.ar.core.Camera->hashCode,Camera,Camera,API,Feasible,com.google.ar.core.Camera,hashCode,0,com.google.ar.core.Camera->hashCode,0
com.google.ar.core.CameraConfig$DepthSensorUsage->$values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$DepthSensorUsage,<clinit>,1,com.google.ar.core.CameraConfig$DepthSensorUsage-><clinit> -> com.google.ar.core.CameraConfig$DepthSensorUsage->$values,1
com.google.ar.core.CameraConfig$DepthSensorUsage-><clinit>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$DepthSensorUsage,<clinit>,0,com.google.ar.core.CameraConfig$DepthSensorUsage-><clinit>,0
com.google.ar.core.CameraConfig$DepthSensorUsage-><init>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$DepthSensorUsage,<clinit>,1,com.google.ar.core.CameraConfig$DepthSensorUsage-><clinit> -> com.google.ar.core.CameraConfig$DepthSensorUsage-><init>,1
com.google.ar.core.CameraConfig$DepthSensorUsage->forBitFlags,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getDepthSensorUsage,1,com.google.ar.core.CameraConfigFilter->getDepthSensorUsage -> com.google.ar.core.CameraConfig$DepthSensorUsage->forBitFlags,1
